Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;Sum;Average;ID
Andrejc;Aljoša;OK Slovenj Gradec;M10;0:19:11;1;25;25;25;25;25;75;25;1017
Jarc;Val;OK Komenda;M10;;;;20;20;20;;60;20;1082
Gaber Raj;Tejo;OK Slovenj Gradec;M10;0:32:10;3;15;12;15;15;15;45;15;1106
Andrejc;Lenart;OK Slovenj Gradec;M10;0:22:21;2;20;15;-;;20;35;18;1063
Šuc;Tin;OK Komenda;M10;;;;-;12;-;;12;12;1123
Miheljak;Tevž;OK Slovenj Gradec;M14;0:23:36;1;25;25;10;25;25;75;25;902
Svetec;Staš;OK Slovenj Gradec;M14;0:30:26;6;8;15;15;20;8;50;17;997
Kölner;Anže;OK Komenda;M14;;;;12;25;8;;45;15;879
Šuc;Enej;OK Komenda;M14;0:23:49;2;20;10;12;10;20;42;14;928
Miheljak;Andraž;OK Slovenj Gradec;M14;0:28:27;5;10;20;8;3;10;38;13;981
Valič;Ištvan;OK Slovenj Gradec;M14;;;;8;20;7;;35;12;950
Malus;Ožbej;OK Komenda;M14;0:27:09;4;12;;;12;12;24;12;840
Lenart;Vidjan;OK Slovenj Gradec;M14;0:47:10;7;7;7;7;-;7;21;7;998
Malus;Drejc;OK Komenda;M14;0:25:14;3;15;;;5;15;20;10;895
Bogataj;Rok;OK Azimut;M14;;;;;;15;;15;15;766
Bizjak;Božo;OK Azimut;M14;;;;;;6;;6;6;1007
Kurinčič;Jakob;OK Komenda;M14;;;;;;4;;4;4;915
Obid;Anže;OK Azimut;M14;;;;;;*;;0;0;1004
Bizjak;Beno;OK Azimut;M14;;;;;;-;;0;0;1055
Nagy;Lovro;OK Polaris;M14;;;;;;;;0;0;1126
Mlakar;Ruj David;OK Slovenj Gradec;M14;;;;;;;;0;0;1064
Seljak;Luka;OK Komenda;M16;;;;;;25;;25;25;613
Seljak;Jaka;OK Komenda;M16;;;;;;20;;20;20;884
Cokan;Jan;OK Komenda;M16;;;;;;15;;15;15;897
Zupan;Tilen;OK Komenda;M16;mp;;;;;;-;0;0;700
